"","Date","station","species","detected","url","geom"
"1",2024-02-14,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"2",2024-02-14,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"3",2024-02-14,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"4",2024-02-14,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"5",2024-02-13,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"6",2024-02-13,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"7",2024-02-13,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"8",2024-02-13,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"9",2024-02-12,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"10",2024-02-12,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"11",2024-02-12,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"12",2024-02-12,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"13",2024-02-11,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"14",2024-02-11,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"15",2024-02-11,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"16",2024-02-11,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"17",2024-02-10,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"18",2024-02-10,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"19",2024-02-10,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"20",2024-02-10,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"21",2024-02-09,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"22",2024-02-09,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"23",2024-02-09,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"24",2024-02-09,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"25",2024-02-08,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"26",2024-02-08,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"27",2024-02-08,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"28",2024-02-08,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"29",2024-02-07,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"30",2024-02-07,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"31",2024-02-07,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"32",2024-02-07,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"33",2024-02-06,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"34",2024-02-06,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"35",2024-02-06,"nybnw","Right whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"36",2024-02-06,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"37",2024-02-05,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"38",2024-02-05,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"39",2024-02-05,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"40",2024-02-05,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"41",2024-02-04,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"42",2024-02-04,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"43",2024-02-04,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"44",2024-02-04,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"45",2024-02-03,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"46",2024-02-03,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"47",2024-02-03,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"48",2024-02-03,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"49",2024-02-02,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"50",2024-02-02,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"51",2024-02-02,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"52",2024-02-02,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"53",2024-02-01,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"54",2024-02-01,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"55",2024-02-01,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"56",2024-02-01,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"57",2024-01-31,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"58",2024-01-31,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"59",2024-01-31,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"60",2024-01-31,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"61",2024-01-30,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"62",2024-01-30,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"63",2024-01-30,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"64",2024-01-30,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"65",2024-01-29,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"66",2024-01-29,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"67",2024-01-29,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"68",2024-01-29,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"69",2024-01-28,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"70",2024-01-28,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"71",2024-01-28,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"72",2024-01-28,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"73",2024-01-27,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"74",2024-01-27,"nybnw","Fin whale",TRUE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"75",2024-01-27,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"76",2024-01-27,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"77",2024-01-26,"nybnw","Sei whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"78",2024-01-26,"nybnw","Fin whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"79",2024-01-26,"nybnw","Right whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
"80",2024-01-26,"nybnw","Humpback whale",FALSE,"http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml",c(-73.5, 40.4)
